prof_id,title
Digital Ethicist,Digital Ethicist
Partner Manager | South Node,Partner Manager | South Node
Souschef,Souschef
Ägare,Ägare
Governance Manager - Risk Centre of Excellence,Governance Manager - Risk Centre of Excellence
Head of Innovation Support Unit (Enhetschef),Head of Innovation Support Unit (Enhetschef)
Innovation Manager,Innovation Manager
Director,Director
Guide och utvecklare,Guide och utvecklare
Process- & projektledare,Process- & projektledare
Author,Author
Intraprenör,Intraprenör
Arbetsmarknadscoach/Studie- och yrkesvägledare,Arbetsmarknadscoach/Studie- och yrkesvägledare
Co-Founder and CEO,Co-Founder and CEO
Projektledare,Projektledare
CEO & Founder,CEO & Founder
Project Leader for NextGen Solutions,Project Leader for NextGen Solutions
Head of Sales & Co-Founder,Head of Sales & Co-Founder
"Project, learning & community manager","Project, learning & community manager"
"Lärare och IT-pedagog, Komvux Helsingborg","Lärare och IT-pedagog, Komvux Helsingborg"
INNOVATION AND PRODUCT DEVELOPMENT,INNOVATION AND PRODUCT DEVELOPMENT
Innovation Management,Innovation Management
nan,nan
Innovation Consultant,Innovation Consultant
Service Designer,Service Designer
Enterprise Architect,Enterprise Architect
Founder & CEO,Founder & CEO
Business owner - IKEA Knowledge Graph,Business owner - IKEA Knowledge Graph
Chief Innovation Officer,Chief Innovation Officer
Director Business Development - Europe,Director Business Development - Europe
Business Mentor & Strategist for Female Founders & Leaders,Business Mentor & Strategist for Female Founders & Leaders
Adjunct Faculty,Adjunct Faculty
CEO & Co-founder,CEO & Co-founder
Facilitator,Facilitator
AI & Digital management consultant,AI & Digital management consultant
Entrepreneur & consultant,Entrepreneur & consultant
Intern,Intern
"CEO, founder, mentor","CEO, founder, mentor"
Ägare/VD,Ägare/VD
Marketing and Communication,Marketing and Communication
Senior Advisor,Senior Advisor
Project Development Manager,Project Development Manager
Games Facilitator & ReGen Civics Campus,Games Facilitator & ReGen Civics Campus
Emerging Technology Advisor,Emerging Technology Advisor
Marketing Communications Manager,Marketing Communications Manager
Steward & Program Facilitator,Steward & Program Facilitator
Business Coach,Business Coach
Associate Professor in Communication Design and Information Systems,Associate Professor in Communication Design and Information Systems
Research Engineer,Research Engineer
Software Developer,Software Developer
Recruitment Resourcer,Recruitment Resourcer
Co-Founder,Co-Founder
Founder and CEO,Founder and CEO
Communications Officer,Communications Officer
Senior konsult i egen verksamhet,Senior konsult i egen verksamhet
"Product Information Specialist, Specialist Function, Range Operation","Product Information Specialist, Specialist Function, Range Operation"
Core Team Member,Core Team Member
UX/ Service Designer,UX/ Service Designer
Learning Engagement Coach,Learning Engagement Coach
CEO,CEO
User Experience Manager,User Experience Manager
Automatizacion y Control de Porcesos Industriales,Automatizacion y Control de Porcesos Industriales
Investor and ex-Alumni,Investor and ex-Alumni
User Experience Writer,User Experience Writer
AI & Cybersecurity Strategist,AI & Cybersecurity Strategist
AI Deep Learning Data Scientist,AI Deep Learning Data Scientist
Chairman of the Executive Board,Chairman of the Executive Board
Senior Consultant - Ontologist,Senior Consultant - Ontologist
Chair,Chair
Software Engineer,Software Engineer
Board Member,Board Member
Data Protection Officer,Data Protection Officer
Consultant,Consultant
Head of Data,Head of Data
Co Founder,Co Founder
Head of Office and Administration,Head of Office and Administration
Founder+CEO | Principal Brand+Business Strategist,Founder+CEO | Principal Brand+Business Strategist
Data Analyst,Data Analyst
Public Speaker and Master of Ceremonies (MC),Public Speaker and Master of Ceremonies (MC)
Partner Data & Artificial Intelligence | Responsible AI Lead | University Lecturer/Researcher,Partner Data & Artificial Intelligence | Responsible AI Lead | University Lecturer/Researcher
Manager Digital strategy and innovation,Manager Digital strategy and innovation
VP of Global Partnerships & Alliances,VP of Global Partnerships & Alliances
Systemutvecklare/System Developer,Systemutvecklare/System Developer
Digital Strategist - digital transformation & innovation,Digital Strategist - digital transformation & innovation
Owner,Owner
Educational & Curriculum Developer,Educational & Curriculum Developer
Founder,Founder
"CEO & Advisor, Leadership, Resilience and Corporate Cultures","CEO & Advisor, Leadership, Resilience and Corporate Cultures"
Public Speaker,Public Speaker
SME Artificial Intelligence,SME Artificial Intelligence
Retail Feature Architect,Retail Feature Architect
Policy Officer at the European AI Office,Policy Officer at the European AI Office
"Principal Consultant, Coach & Founder","Principal Consultant, Coach & Founder"
Chief Executive Officer,Chief Executive Officer
Director & Head of Product - Responsible AI,Director & Head of Product - Responsible AI
"Assistant Manager Digital Ethics and Compliance, BAS AI Centre of Excellence","Assistant Manager Digital Ethics and Compliance, BAS AI Centre of Excellence"
"Partner, Product & Experience Design","Partner, Product & Experience Design"
Head of EMEA,Head of EMEA
Associate Director,Associate Director
Head of Business Development,Head of Business Development
"Director Data, Analytics & AI","Director Data, Analytics & AI"
Talent Acquisition Specialist,Talent Acquisition Specialist
Associate Director Data Strategy,Associate Director Data Strategy
"Co-Founder, CEO","Co-Founder, CEO"
Business Development Specialist,Business Development Specialist
Knowledge Graph Architect,Knowledge Graph Architect
Research and Communications Associate,Research and Communications Associate
Chief Product Officer,Chief Product Officer
Principal AI Engineer,Principal AI Engineer
Senior Market Development Specialist,Senior Market Development Specialist
Product Lifecycle Engineer,Product Lifecycle Engineer
Senior Sales Development Representative,Senior Sales Development Representative
UX Research & Design Consultant at C!,UX Research & Design Consultant at C!
Data & Machine Learning Domain Manager,Data & Machine Learning Domain Manager
Business & Data Expansion Analyst,Business & Data Expansion Analyst
Director Incubator Development Sweden,Director Incubator Development Sweden
Migrant Worker Management Advisor,Migrant Worker Management Advisor
Engagement Acceleration Leader | AI for Business | IBM Innovation Studios,Engagement Acceleration Leader | AI for Business | IBM Innovation Studios
Investment Manager,Investment Manager
Merchandising Analyst,Merchandising Analyst
Program Officer,Program Officer
Wissenschaftliche Mitarbeiter:in,Wissenschaftliche Mitarbeiter:in
Software Engineering Leader,Software Engineering Leader
Data Management Specialist,Data Management Specialist
Business Analyst,Business Analyst
Communication Officer,Communication Officer
Yoga Teacher,Yoga Teacher
Director Global Public Affairs,Director Global Public Affairs
CEO & Co-Founder,CEO & Co-Founder
Digital Marketing Associate,Digital Marketing Associate
Working Student in Human Resource Projects,Working Student in Human Resource Projects
Sales Executive,Sales Executive
Companies Owner / investor,Companies Owner / investor
Innovation & Development Leader,Innovation & Development Leader
Purchaser Data Analyst,Purchaser Data Analyst
President,President
Digital Business Developer Intern,Digital Business Developer Intern
Reisspecialist Product & Services,Reisspecialist Product & Services
Senior Manager and Head of AI Garage,Senior Manager and Head of AI Garage
Teaching Assistant,Teaching Assistant
"Co-Founder, AI Advisor and Project Manager","Co-Founder, AI Advisor and Project Manager"
Responsable Business Développement Durable,Responsable Business Développement Durable
Media/Website Analytics Specialist,Media/Website Analytics Specialist
Information Security & Data Privacy Leader - Business Enablement in IKEA Shared Data & Technology,Information Security & Data Privacy Leader - Business Enablement in IKEA Shared Data & Technology
Bar crew,Bar crew
DOST Summer Practical Training Program,DOST Summer Practical Training Program
Senior Data Scientist,Senior Data Scientist
"Strategy, Planning, & Employee Enablement (SP& EE) | EEC Program Manager - Americas","Strategy, Planning, & Employee Enablement (SP& EE) | EEC Program Manager - Americas"
Manager,Manager
Communications Manager,Communications Manager
Director Data Sovereignty Solutions,Director Data Sovereignty Solutions
Finance Associate,Finance Associate
Chief Solutions Officer,Chief Solutions Officer
Design Research,Design Research
co-Founder & Managing Partner,co-Founder & Managing Partner
"Entrepreneur, Founder","Entrepreneur, Founder"
Senior Project Manager,Senior Project Manager
Vice President of Product Management - AI Platform,Vice President of Product Management - AI Platform
Area Sales Manager,Area Sales Manager
Chief Executive Officer and Co-Founder,Chief Executive Officer and Co-Founder
Senior Product Lead,Senior Product Lead
Account Executive,Account Executive
World's 30 Best Sales Speaker & Trainers 2024,World's 30 Best Sales Speaker & Trainers 2024
Strategic Sustainability Topic Developer: Human & Children’s Rights,Strategic Sustainability Topic Developer: Human & Children’s Rights
Kundvärd,Kundvärd
Chief Commercial Officer,Chief Commercial Officer
Responsible AI Manager & AI Ethicist,Responsible AI Manager & AI Ethicist
Senior Content Editor and Commercial Conference Producer,Senior Content Editor and Commercial Conference Producer
Associate Director Global Circular Strategy,Associate Director Global Circular Strategy
Java Developer,Java Developer
Oxford PPE/E&M Admissions Tutor,Oxford PPE/E&M Admissions Tutor
Lead AI Innovation Lab,Lead AI Innovation Lab
Sales & Business Development and Executive Coaching,Sales & Business Development and Executive Coaching
Sales Marketing Manager,Sales Marketing Manager
Senior Enterprise Account Executive,Senior Enterprise Account Executive
Search Engine Optimization | Digital Merchandising | SEO Specialist | Digital Marketing | CRO,Search Engine Optimization | Digital Merchandising | SEO Specialist | Digital Marketing | CRO
"Founder, Chief Executive Officer","Founder, Chief Executive Officer"
Stödassistent på LSS-gruppboende,Stödassistent på LSS-gruppboende
Managing Partner,Managing Partner
Chief Data & Analytics Officer,Chief Data & Analytics Officer
Sales Director - EMEA,Sales Director - EMEA
Master Data Process Leader - Information Management,Master Data Process Leader - Information Management
Innovation Leader,Innovation Leader
"Project Manager, Sweden Secure Tech Hub - Sweden ICT","Project Manager, Sweden Secure Tech Hub - Sweden ICT"
PHD Student,PHD Student
"Director of Marketing & Business Development - LLMs, RAG, AI Agents, Data & AI Governance","Director of Marketing & Business Development - LLMs, RAG, AI Agents, Data & AI Governance"
Managing Consultant Data Science,Managing Consultant Data Science
Cluster Lead South,Cluster Lead South
Key Account Manager,Key Account Manager
Data Governance,Data Governance
Master Data Leader,Master Data Leader
Data Management Specialist: Business Owner of the Data Enablement Platform,Data Management Specialist: Business Owner of the Data Enablement Platform
Data Science Leader,Data Science Leader
"Innovation Leader, Inter IKEA, Supply","Innovation Leader, Inter IKEA, Supply"
Technical Recruiter,Technical Recruiter
Head Digital & Technology for Supply Chain,Head Digital & Technology for Supply Chain
Information Management,Information Management
Global Director - Intelligent Data & Knowledge Activation | AI Innovation & Trust,Global Director - Intelligent Data & Knowledge Activation | AI Innovation & Trust
AI Business Developer,AI Business Developer
Co-Founder | Chief Technology Officer,Co-Founder | Chief Technology Officer
Innovation Strategy | Creative Technology,Innovation Strategy | Creative Technology
Director of AI Adoption,Director of AI Adoption
Channel Sales,Channel Sales
Digital Product Area Manager - Commercial Capabilities,Digital Product Area Manager - Commercial Capabilities
UX Manager,UX Manager
Content Designer,Content Designer
Head of GenAI Planning & Analytics,Head of GenAI Planning & Analytics
Business Owner,Business Owner
Super Premium & Credibility Head,Super Premium & Credibility Head
Business Development Manager,Business Development Manager
Business Development Manager - SMISS Ltd,Business Development Manager - SMISS Ltd
Data & Analytics Manager Core Business Range at Inter Ikea Group,Data & Analytics Manager Core Business Range at Inter Ikea Group
Group Chief Architect & Head of Development,Group Chief Architect & Head of Development
Project Leader Range Operations Planning,Project Leader Range Operations Planning
Innovation Manager at IKEA of Sweden ( Spatial Computing / Range Operations),Innovation Manager at IKEA of Sweden ( Spatial Computing / Range Operations)
Credit Analyst,Credit Analyst
Senior Conversion Rate Optimisation Specialist (CRO),Senior Conversion Rate Optimisation Specialist (CRO)
Head of innovations - Supply chain,Head of innovations - Supply chain
Jury Member,Jury Member
AI & Climate Lead,AI & Climate Lead
Founder and Director,Founder and Director
Partner,Partner
Data & Product Manager,Data & Product Manager
"Engagement Manager, AI Expert","Engagement Manager, AI Expert"
Regen Lab: (Eco)System Innovation for COP30 Brasil - #GenerationRegeneration,Regen Lab: (Eco)System Innovation for COP30 Brasil - #GenerationRegeneration
Leadership Advisor,Leadership Advisor
Junior Business Controller,Junior Business Controller
Lecturer,Lecturer
Head of Marketing,Head of Marketing
VP of Growth,VP of Growth
"Senior Lead Technologist, AI Governance","Senior Lead Technologist, AI Governance"
Head of Research,Head of Research
Project Consultant,Project Consultant
CPO,CPO
Climate sales consultant,Climate sales consultant
Organisationspsykolog,Organisationspsykolog
International Staff Partner,International Staff Partner
HR-konsulent,HR-konsulent
HR Business Partner Global Supply,HR Business Partner Global Supply
Talent Management Specialist,Talent Management Specialist
Assembly Deputy Speaker,Assembly Deputy Speaker
CEO and Founder,CEO and Founder
Human Resources Specialist,Human Resources Specialist
Finance Assistant,Finance Assistant
Professor of Evolutionary Biology,Professor of Evolutionary Biology
Operations & Customer Experience Lead,Operations & Customer Experience Lead
Founding Partner,Founding Partner
Global Responsible AI Officer,Global Responsible AI Officer
Professor of Information and Communication Ethics,Professor of Information and Communication Ethics
Global Child Rights & Business Specialist,Global Child Rights & Business Specialist
Associate Creative Director,Associate Creative Director
Senior Network Advisor,Senior Network Advisor
"Coordinadora de Emprendimiento, Innovación y Liderazgo","Coordinadora de Emprendimiento, Innovación y Liderazgo"
Senior HR Business Partner for Design,Senior HR Business Partner for Design
Communications and Design Consultant,Communications and Design Consultant
Professor,Professor
Managing Director,Managing Director
People & Culture Generalist,People & Culture Generalist
Founder & Fractional CEO,Founder & Fractional CEO
Venture Associate,Venture Associate
Chief Business Officer,Chief Business Officer
Patient Growth & Partnership Manager,Patient Growth & Partnership Manager
Digital Ethicist - Inter Ikea,Digital Ethicist - Inter Ikea
Senior Conference Manager | European C-Suite Marketing,Senior Conference Manager | European C-Suite Marketing
"Head of Energy Business, B2B","Head of Energy Business, B2B"
Digital Expansion Specialist,Digital Expansion Specialist
Head of Research & Analytics,Head of Research & Analytics
Data Ethics & AI Governance Consultant,Data Ethics & AI Governance Consultant
Chief People & Culture Officer,Chief People & Culture Officer
Master Data Lead,Master Data Lead
Master Thesis Student,Master Thesis Student
"Equality, Diversity & Inclusion Leader","Equality, Diversity & Inclusion Leader"
Experience Quality Specialist - Experience Design Team,Experience Quality Specialist - Experience Design Team
Retail Operations Manager - Marketing & Projects,Retail Operations Manager - Marketing & Projects
Teacher of Theory of Knowledge,Teacher of Theory of Knowledge
Crowd Manager,Crowd Manager
Visiting Scholar,Visiting Scholar
Delivery Lead,Delivery Lead
Programme Manager,Programme Manager
Head of Digital Innovation | Data & Technology,Head of Digital Innovation | Data & Technology
Nachhaltigkeitsberater,Nachhaltigkeitsberater
Co-Founder & Managing Director,Co-Founder & Managing Director
Project Manager,Project Manager
Ecodesigner,Ecodesigner
Professor and Founding Director - Digital Ethics Center,Professor and Founding Director - Digital Ethics Center
Global Head of Technology Strategy,Global Head of Technology Strategy
Founder / CEO,Founder / CEO
"Lead Innovator, Co-Founder","Lead Innovator, Co-Founder"
Senior Consultant,Senior Consultant
Frontend Web/App Developer,Frontend Web/App Developer
Social Media Consultant,Social Media Consultant
Digital Marketing Manager,Digital Marketing Manager
"Digital Innovation Project Consultant (RapidPro, FunDoo)","Digital Innovation Project Consultant (RapidPro, FunDoo)"
PhD Candidate,PhD Candidate
Polizist,Polizist
PhD Student- Wissenschaftliche Mitarbeiterin,PhD Student- Wissenschaftliche Mitarbeiterin
Coreteam of Education working group,Coreteam of Education working group
Research Associate Digitalisation & Sustainability,Research Associate Digitalisation & Sustainability
Doctoral Student,Doctoral Student
Research Associate,Research Associate
Wissenschaftlicher Mitarbeiter,Wissenschaftlicher Mitarbeiter
Assistant Professor,Assistant Professor
Dr. Biomedical Sciences (Philosophy & Ethics),Dr. Biomedical Sciences (Philosophy & Ethics)
Guest Researcher,Guest Researcher
Project work Coordinator for the MA in User Experience Psychology,Project work Coordinator for the MA in User Experience Psychology
Head of Growth,Head of Growth
Technical Officer,Technical Officer
Human Centric AI Experience Manager,Human Centric AI Experience Manager
"Senior Director of Data Science, Head of Artificial Intelligence and Machine Learning Model Risk","Senior Director of Data Science, Head of Artificial Intelligence and Machine Learning Model Risk"
Sustainability Manager,Sustainability Manager
Principal Ethicist,Principal Ethicist
"Capability Developer, IKEA of Sweden AB","Capability Developer, IKEA of Sweden AB"
CEO PINTEG AB,CEO PINTEG AB
Strategy Specialist,Strategy Specialist
Freelance Creative Strategist,Freelance Creative Strategist
Senior Business Advisor,Senior Business Advisor
Partner & Advisor,Partner & Advisor
Chief Digital Officer (CDO),Chief Digital Officer (CDO)
Global Vice-President - AI Innovation and Trust,Global Vice-President - AI Innovation and Trust
Head of Customer Success,Head of Customer Success
"Global Vice President, AI Adoption & Governance","Global Vice President, AI Adoption & Governance"
Member of Expert Group on Tech Giants,Member of Expert Group on Tech Giants
Fundraising Marketing Manager - Campaigns & Partnerships,Fundraising Marketing Manager - Campaigns & Partnerships
Business Development Representative,Business Development Representative
Web3 Executive Consultant,Web3 Executive Consultant
Professor of Futures Thinking,Professor of Futures Thinking
Public Affairs Manager - Inter IKEA Group,Public Affairs Manager - Inter IKEA Group
Marketing Operations Manager,Marketing Operations Manager
"Assisant Manager, Inside Sales","Assisant Manager, Inside Sales"
Account Director,Account Director
Senior Research Fellow,Senior Research Fellow
Trainee,Trainee
Founder & Leader,Founder & Leader
In Training,In Training
AI transformation strategist,AI transformation strategist
Head of Responsible AI and Operations Natural Language Understanding,Head of Responsible AI and Operations Natural Language Understanding
Independent Innovation Consultant,Independent Innovation Consultant
AI Developer,AI Developer
"Principal Researcher, Responsible AI","Principal Researcher, Responsible AI"
Associate researcher in Regenerative Technologies,Associate researcher in Regenerative Technologies
Head of Podcast Association of Foreign Affairs Malmö,Head of Podcast Association of Foreign Affairs Malmö
Clearance Broker Associate,Clearance Broker Associate
Client Services Officer,Client Services Officer
Studentkonsult,Studentkonsult
Data Scientist | Knowledge Graph | Retail Concept,Data Scientist | Knowledge Graph | Retail Concept
Marketing Project Manager,Marketing Project Manager
Editor-in-Chief | Focused on Corporate Finance and Sustainable Investing,Editor-in-Chief | Focused on Corporate Finance and Sustainable Investing
"Founder & CEO, Credo AI","Founder & CEO, Credo AI"
Head of Research + Curation,Head of Research + Curation
"Co-Vice Chair, AI Policy Committee","Co-Vice Chair, AI Policy Committee"
IT Strategy & Design,IT Strategy & Design
Styrelsemedlem,Styrelsemedlem
Collaborations Co-ordinator,Collaborations Co-ordinator
Master Data Specialist | Information Management | Core Business Range,Master Data Specialist | Information Management | Core Business Range
Research Project Manager (PreAward Unit),Research Project Manager (PreAward Unit)
Head of EU Affairs,Head of EU Affairs
Digitale Zukunftsgestalterin,Digitale Zukunftsgestalterin
CEO & Co-founder at Carbon+Alt+Delete,CEO & Co-founder at Carbon+Alt+Delete
Hållbarhetsutvecklare,Hållbarhetsutvecklare
Principal Lecturer in Technology,Principal Lecturer in Technology
Handläggare,Handläggare
Entrepreneur in Residence,Entrepreneur in Residence
Structural Analysis Engineer,Structural Analysis Engineer
Project Coordinator,Project Coordinator
Head of Sales,Head of Sales
CTO/CEO Trifork Portugal,CTO/CEO Trifork Portugal
Senior Consultant | Sustainability Department,Senior Consultant | Sustainability Department
Lead Product Manager- Consumer Lending | Data and insights,Lead Product Manager- Consumer Lending | Data and insights
EU-parlamentariker,EU-parlamentariker
Fellow - Sustainability Consulting Accelerator,Fellow - Sustainability Consulting Accelerator
Group Manager Data Science Solutions,Group Manager Data Science Solutions
Event Manager,Event Manager
Freelance Journalist,Freelance Journalist
Advisor in Economic and Financial Sustainability,Advisor in Economic and Financial Sustainability
Founding Steward,Founding Steward
Head of Investor Relations,Head of Investor Relations
Experience Designer,Experience Designer
Network Weaver & Community Facilitator,Network Weaver & Community Facilitator
Senior Product Analyst,Senior Product Analyst
COO,COO
Sales Account Manager,Sales Account Manager
Diseñador industrial,Diseñador industrial
Näringslivsdirektör,Näringslivsdirektör
Founder - Weezly 🔥🚀,Founder - Weezly 🔥🚀
Researcher,Researcher
Facility Projects Coordinator,Facility Projects Coordinator
Digital Ethicist | IKEA Supply,Digital Ethicist | IKEA Supply
Intellectual Forum Senior Research Associate,Intellectual Forum Senior Research Associate
"Creative Lead, GIGA, Office of Innovation","Creative Lead, GIGA, Office of Innovation"
Project Manager Program Management Office,Project Manager Program Management Office
Data Engineer at IKEA Home Smart,Data Engineer at IKEA Home Smart
Maternity Leave,Maternity Leave
Knowledge Specialist,Knowledge Specialist
Migrationskonsult,Migrationskonsult
Guest Lecturer,Guest Lecturer
Doctoral Student in Technology and Society,Doctoral Student in Technology and Society
PHD Student / Doktorand,PHD Student / Doktorand
Programme Director - Leading Systems Innovation in Healthcare,Programme Director - Leading Systems Innovation in Healthcare
Senior Software Engineer,Senior Software Engineer
User Experience Designer,User Experience Designer
Member of the Nominations Committee,Member of the Nominations Committee
Researcher PHD Student,Researcher PHD Student
Strategic Operations Advisor | Saas solution Co-robotics | Global Procurement Director,Strategic Operations Advisor | Saas solution Co-robotics | Global Procurement Director
Freelance Communications Consultant,Freelance Communications Consultant
Designer,Designer
Product Design Developer Food at IKEA of Sweden AB,Product Design Developer Food at IKEA of Sweden AB
Digital Ethics Leader,Digital Ethics Leader
Technical Officer of External Stakeholders' Engagement,Technical Officer of External Stakeholders' Engagement
Support Engineer Trainee,Support Engineer Trainee
Research Assistant,Research Assistant
Member,Member
CDO,CDO
Sustainability Consultant,Sustainability Consultant
M&A Analyst,M&A Analyst
From zero to one,From zero to one
Founder's Associate Business Development,Founder's Associate Business Development
Proposition Management Associate,Proposition Management Associate
Co-Founder | COO,Co-Founder | COO
Stealth,Stealth
Creative Generalist | Visual and written communication,Creative Generalist | Visual and written communication
Benefits Associate,Benefits Associate
IT Sourcing,IT Sourcing
"Equality, Diversity and Inclusion Advisor","Equality, Diversity and Inclusion Advisor"
Member Board of Directors,Member Board of Directors
Founder of Sustainable Living & Health Consultancy,Founder of Sustainable Living & Health Consultancy
General Manager,General Manager
"Information Management Manager, Data & technology Core Business Range","Information Management Manager, Data & technology Core Business Range"
Consultant & Senior Project Manager in Innovation and Transformation,Consultant & Senior Project Manager in Innovation and Transformation
Medgrundare och Styrelseordförande,Medgrundare och Styrelseordförande
Co-Founder & Chief Scientific Officer,Co-Founder & Chief Scientific Officer
Sustainability Communications Consultant and Strategist,Sustainability Communications Consultant and Strategist
Head of Consulting & Partnerships,Head of Consulting & Partnerships
Team Assistant,Team Assistant
Projektmanagerin für Energie- und Klimaschutzberatung,Projektmanagerin für Energie- und Klimaschutzberatung
Junior Purchase Manager,Junior Purchase Manager
CRM Manager,CRM Manager
Senior Project Manager | Code Compliance,Senior Project Manager | Code Compliance
Junior Sustainability Reporting & Assurance Professional,Junior Sustainability Reporting & Assurance Professional
Actief lid,Actief lid
ESG Controller,ESG Controller
Administrative Assistant,Administrative Assistant
Field CTO,Field CTO
International Sales & Business Development Specialist,International Sales & Business Development Specialist
Interim Arbetsledare,Interim Arbetsledare
Coach,Coach
Data Scientist,Data Scientist
Data Scientist / ML Engineer,Data Scientist / ML Engineer
"Founder, Strategic Designer & Creative Leadership Coach","Founder, Strategic Designer & Creative Leadership Coach"
Secretary General,Secretary General
Head of the Department of Computer Science and Media Technology,Head of the Department of Computer Science and Media Technology
Socialpedagog,Socialpedagog
Styrelseordförande,Styrelseordförande
"Data Lead, Whole Systems","Data Lead, Whole Systems"
Project Officer,Project Officer
University Lecturer,University Lecturer
Chief Executive Officer and Founder,Chief Executive Officer and Founder
Company Owner,Company Owner
Communications and Marketing Manager,Communications and Marketing Manager
Instagram Ambassadors' Coordinator,Instagram Ambassadors' Coordinator
Founder and Owner,Founder and Owner
Head of Research And Development,Head of Research And Development
Socialsekreterare,Socialsekreterare
"Senior Network Advisor, Learning Organizer & Tech Learning Specialist","Senior Network Advisor, Learning Organizer & Tech Learning Specialist"
"Creative Director, SALLY","Creative Director, SALLY"
Development & Transformation Project Manager,Development & Transformation Project Manager
Community manager,Community manager
Strategy Advisor,Strategy Advisor
Director of Innovation,Director of Innovation
Vice President Sustainability and Chief Human Resources Officer,Vice President Sustainability and Chief Human Resources Officer
Global Head of AI Governance Advisory,Global Head of AI Governance Advisory
Machine Learning Engineer,Machine Learning Engineer
COO & Data Scientist,COO & Data Scientist
Circular Impact Officer/Vice chair,Circular Impact Officer/Vice chair
Sustainability Specialist,Sustainability Specialist
Director of Fiction and Entertainment- Post Graduate Masters of Art,Director of Fiction and Entertainment- Post Graduate Masters of Art
